This is the Unicode coverage file for DejaVu fonts
($Id$)

Control and similar characters are discounted from totals.

                                                Sans Code          
U+11600 Modi                                          (0/79)       
U+11660 Mongolian Supplement                          (0/13)       
U+11680 Takri                                         (0/66)       
U+11700 Ahom                                          (0/57)       
U+118a0 Warang Citi                                   (0/84)       
U+11ac0 Pau Cin Hau                                   (0/57)       
U+11c00 Bhaiksuki                                     (0/97)       
U+11c70 Marchen                                       (0/68)       
U+12000 Cuneiform                                     (0/922)      
U+12400 Cuneiform Numbers and Punctuation             (0/116)      
U+12480 Early Dynastic Cuneiform                      (0/196)      
U+13000 Egyptian Hieroglyphs                          (0/1071)     
U+14400 Anatolian Hieroglyphs                         (0/583)      
U+16800 Bamum Supplement                              (0/569)      
U+16a40 Mro                                           (0/43)       
U+16ad0 Bassa Vah                                     (0/36)       
U+16b00 Pahawh Hmong                                  (0/127)      
U+16f00 Miao                                          (0/133)      
U+16fe0 Ideographic Symbols and Punctuation           (0/1)        
U+17000 Tangut                                        (0/0)        
U+18800 Tangut Components                             (0/755)      
U+1b000 Kana Supplement                               (0/2)        
U+1bc00 Duployan                                      (0/143)      
U+1bca0 Shorthand Format Controls                     (0/4)        
U+1d000 Byzantine Musical Symbols                     (0/246)      
U+1d100 Musical Symbols                               (0/231)      
U+1d200 Ancient Greek Musical Notation                (0/70)       
U+1d300 Tai Xuan Jing Symbols                         (0/87)       
U+1d360 Counting Rod Numerals                         (0/18)       
U+1d400 Mathematical Alphanumeric Symbols          6% (63/996)     
U+1d800 Sutton SignWriting                            (0/672)      
U+1e000 Glagolitic Supplement                         (0/38)       
U+1e800 Mende Kikakui                                 (0/213)      
U+1e900 Adlam                                         (0/87)       
U+1ee00 Arabic Mathematical Alphabetic Symbols        (0/143)      
U+1f000 Mahjong Tiles                                 (0/44)       
U+1f030 Domino Tiles                                  (0/100)      
U+1f0a0 Playing Cards                                 (0/82)       
U+1f100 Enclosed Alphanumeric Supplement              (0/191)      
U+1f200 Enclosed Ideographic Supplement               (0/58)       
U+1f300 Miscellaneous Symbols and Pictographs         (0/768)      
U+1f600 Emoticons                                     (0/80)       
U+1f650 Ornamental Dingbats                           (0/48)       
U+1f680 Transport and Map Symbols                     (0/103)      
U+1f700 Alchemical Symbols                            (0/116)      
U+1f780 Geometric Shapes Extended                     (0/85)       
U+1f800 Supplemental Arrows-C                         (0/148)      
U+1f900 Supplemental Symbols and Pictographs          (0/82)       
U+20000 CJK Unified Ideographs Extension B            (0/0)        
U+2a700 CJK Unified Ideographs Extension C            (0/0)        
U+2b740 CJK Unified Ideographs Extension D            (0/0)        
U+2b820 CJK Unified Ideographs Extension E            (0/0)        
U+2f800 CJK Compatibility Ideographs Supplement       (0/542)      
U+e0000 Tags                                          (0/98)       
U+e0100 Variation Selectors Supplement                (0/240)      
U+f0000 Supplementary Private Use Area-A              (0/0)        
U+100000 Supplementary Private Use Area-B              (0/0)        
